date,name,value
1994,Diabetes Mellitus,0.22590500000000002
1995,Diabetes Mellitus,0.23198600000000003
1996,Diabetes Mellitus,0.237575
1997,Diabetes Mellitus,0.236848
1998,Diabetes Mellitus,0.240581
1999,Diabetes Mellitus,0.250131
2000,Diabetes Mellitus,0.250431
2001,Diabetes Mellitus,0.253601
2002,Diabetes Mellitus,0.256133
2003,Diabetes Mellitus,0.25503000000000003
2004,Diabetes Mellitus,0.247427
2005,Diabetes Mellitus,0.24929899999999997
2006,Diabetes Mellitus,0.235737
2007,Diabetes Mellitus,0.227816
2008,Diabetes Mellitus,0.22036599999999998
2009,Diabetes Mellitus,0.21038800000000002
2010,Diabetes Mellitus,0.20800700000000003
2011,Diabetes Mellitus,0.216617
2012,Diabetes Mellitus,0.21187399999999998
2013,Diabetes Mellitus,0.211799
2014,Diabetes Mellitus,0.209531
2015,Diabetes Mellitus,0.212878
2016,Diabetes Mellitus,0.210013
2017,Diabetes Mellitus,0.214464
1962,Cerebrovascular Disease,1.728061
1963,Cerebrovascular Disease,1.7119060000000001
1964,Cerebrovascular Disease,1.63332
1965,Cerebrovascular Disease,1.6253
1966,Cerebrovascular Disease,1.619936
1967,Cerebrovascular Disease,1.563662
1968,Cerebrovascular Disease,1.625291
1969,Cerebrovascular Disease,1.554136
1970,Cerebrovascular Disease,1.4766059999999999
1971,Cerebrovascular Disease,1.476302
1972,Cerebrovascular Disease,1.473329
1973,Cerebrovascular Disease,1.451734
1974,Cerebrovascular Disease,1.367718
1975,Cerebrovascular Disease,1.2351370000000002
1976,Cerebrovascular Disease,1.174189
1977,Cerebrovascular Disease,1.104017
1978,Cerebrovascular Disease,1.0370549999999998
1979,Cerebrovascular Disease,0.972981
1980,Cerebrovascular Disease,0.9645030000000001
1981,Cerebrovascular Disease,0.8969729999999999
1982,Cerebrovascular Disease,0.843801
1983,Cerebrovascular Disease,0.813561
1984,Cerebrovascular Disease,0.7894680000000001
1985,Cerebrovascular Disease,0.766187
1986,Cerebrovascular Disease,0.732516
1987,Cerebrovascular Disease,0.7181529999999999
1988,Cerebrovascular Disease,0.707978
1989,Cerebrovascular Disease,0.671068
1990,Cerebrovascular Disease,0.654997
1991,Cerebrovascular Disease,0.630764
1992,Cerebrovascular Disease,0.616351
1993,Cerebrovascular Disease,0.628502
1994,Cerebrovascular Disease,0.627905
1995,Cerebrovascular Disease,0.632672
1996,Cerebrovascular Disease,0.6261800000000001
1997,Cerebrovascular Disease,0.612312
1998,Cerebrovascular Disease,0.5945090000000001
1999,Cerebrovascular Disease,0.6160399999999999
2000,Cerebrovascular Disease,0.6085119999999999
2001,Cerebrovascular Disease,0.5837289999999999
2002,Cerebrovascular Disease,0.57258
2003,Cerebrovascular Disease,0.5457
2004,Cerebrovascular Disease,0.511831
2005,Cerebrovascular Disease,0.479616
2006,Cerebrovascular Disease,0.448233
2007,Cerebrovascular Disease,0.435079
2008,Cerebrovascular Disease,0.42076
2009,Cerebrovascular Disease,0.39607
2010,Cerebrovascular Disease,0.391417
2011,Cerebrovascular Disease,0.378938
2012,Cerebrovascular Disease,0.36884
2013,Cerebrovascular Disease,0.361705
2014,Cerebrovascular Disease,0.364737
2015,Cerebrovascular Disease,0.376195
2016,Cerebrovascular Disease,0.37349099999999996
2017,Cerebrovascular Disease,0.375874
1962,All Heart Disease,5.483364
1963,All Heart Disease,5.514154
1964,All Heart Disease,5.343587
1965,All Heart Disease,5.331957
1966,All Heart Disease,5.320983999999999
1967,All Heart Disease,5.17504
1968,All Heart Disease,5.314291000000001
1969,All Heart Disease,5.170841
1970,All Heart Disease,4.929598
1971,All Heart Disease,4.9303870000000005
1972,All Heart Disease,4.903876
1973,All Heart Disease,4.822325
1974,All Heart Disease,4.589241
1975,All Heart Disease,4.313358
1976,All Heart Disease,4.270555
1977,All Heart Disease,4.138177
1978,All Heart Disease,4.1006540000000005
1979,All Heart Disease,4.0163269999999995
1980,All Heart Disease,4.120938
1981,All Heart Disease,3.9699190000000004
1982,All Heart Disease,3.8905260000000004
1983,All Heart Disease,3.888733
1984,All Heart Disease,3.7879629999999995
1985,All Heart Disease,3.74936
1986,All Heart Disease,3.651136
1987,All Heart Disease,3.559249
1988,All Heart Disease,3.5247010000000003
1989,All Heart Disease,3.3203730000000005
1990,All Heart Disease,3.2182169999999997
1991,All Heart Disease,3.125362
1992,All Heart Disease,3.0402709999999997
1993,All Heart Disease,3.0812
1994,All Heart Disease,2.974814
1995,All Heart Disease,2.9340889999999997
1996,All Heart Disease,2.857309
1997,All Heart Disease,2.776595
1998,All Heart Disease,2.71316
1999,All Heart Disease,2.664438
2000,All Heart Disease,2.576241
2001,All Heart Disease,2.495013
2002,All Heart Disease,2.446532
2003,All Heart Disease,2.363175
2004,All Heart Disease,2.216195
2005,All Heart Disease,2.1684240000000004
2006,All Heart Disease,2.054774
2007,All Heart Disease,1.960851
2008,All Heart Disease,1.921044
2009,All Heart Disease,1.828212
2010,All Heart Disease,1.7913259999999998
2011,All Heart Disease,1.737396
2012,All Heart Disease,1.70501
2013,All Heart Disease,1.6977380000000002
2014,All Heart Disease,1.6696080000000002
2015,All Heart Disease,1.684709
2016,All Heart Disease,1.655169
2017,All Heart Disease,1.650523
1962,Influenza & Pneumonia,0.468095
1963,Influenza & Pneumonia,0.5483399999999999
1964,Influenza & Pneumonia,0.44498000000000004
1965,Influenza & Pneumonia,0.45743999999999996
1966,Influenza & Pneumonia,0.466425
1967,Influenza & Pneumonia,0.41305699999999995
1968,Influenza & Pneumonia,0.526517
1969,Influenza & Pneumonia,0.477862
1970,Influenza & Pneumonia,0.41692799999999997
1971,Influenza & Pneumonia,0.38460300000000003
1972,Influenza & Pneumonia,0.41278400000000004
1973,Influenza & Pneumonia,0.411208
1974,Influenza & Pneumonia,0.35444200000000003
1975,Influenza & Pneumonia,0.34947399999999995
1976,Influenza & Pneumonia,0.38786
1977,Influenza & Pneumonia,0.31005900000000003
1978,Influenza & Pneumonia,0.34536500000000003
1979,Influenza & Pneumonia,0.260999
1980,Influenza & Pneumonia,0.31452800000000003
1981,Influenza & Pneumonia,0.299829
1982,Influenza & Pneumonia,0.265151
1983,Influenza & Pneumonia,0.29756900000000003
1984,Influenza & Pneumonia,0.306394
1985,Influenza & Pneumonia,0.34541700000000003
1986,Influenza & Pneumonia,0.348353
1987,Influenza & Pneumonia,0.337731
1988,Influenza & Pneumonia,0.372706
1989,Influenza & Pneumonia,0.359173
1990,Influenza & Pneumonia,0.368021
1991,Influenza & Pneumonia,0.347069
1992,Influenza & Pneumonia,0.32814899999999997
1993,Influenza & Pneumonia,0.34984
1994,Influenza & Pneumonia,0.33605
1995,Influenza & Pneumonia,0.333965
1996,Influenza & Pneumonia,0.32926500000000003
1997,Influenza & Pneumonia,0.332629
1998,Influenza & Pneumonia,0.34578600000000004
1999,Influenza & Pneumonia,0.23504899999999998
2000,Influenza & Pneumonia,0.237283
2001,Influenza & Pneumonia,0.221654
2002,Influenza & Pneumonia,0.231531
2003,Influenza & Pneumonia,0.225744
2004,Influenza & Pneumonia,0.203681
2005,Influenza & Pneumonia,0.21046399999999998
2006,Influenza & Pneumonia,0.184119
2007,Influenza & Pneumonia,0.168381
2008,Influenza & Pneumonia,0.176014
2009,Influenza & Pneumonia,0.16005
2010,Influenza & Pneumonia,0.150313
2011,Influenza & Pneumonia,0.15673800000000002
2012,Influenza & Pneumonia,0.14457799999999998
2013,Influenza & Pneumonia,0.158443
2014,Influenza & Pneumonia,0.14923499999999998
2015,Influenza & Pneumonia,0.152421
2016,Influenza & Pneumonia,0.134697
2017,Influenza & Pneumonia,0.142842
 Asthma,Bronchitis,20276.0
 Asthma,Bronchitis,23884.0
 Asthma,Bronchitis,24647.0
 Asthma,Bronchitis,27951.0
 Asthma,Bronchitis,29737.0
 Asthma,Bronchitis,30315.0
 Asthma,Bronchitis,33076.0
 Asthma,Bronchitis,31139.0
 Asthma,Bronchitis,30882.0
 Asthma,Bronchitis,30281.0
 Asthma,Bronchitis,30764.0
 Asthma,Bronchitis,29705.0
 Asthma,Bronchitis,26876.0
 Asthma,Bronchitis,25464.0
 Asthma,Bronchitis,24408.0
 Asthma,Bronchitis,22358.0
 Asthma,Bronchitis,21871.0
 Asthma,Bronchitis,19815.0
 Asthma,Bronchitis,20495.0
 Asthma,Bronchitis,20107.0
 Asthma,Bronchitis,19437.0
 Asthma,Bronchitis,20427.0
 Asthma,Bronchitis,20371.0
 Asthma,Bronchitis,21643.0
 Asthma,Bronchitis,22173.0
 Asthma,Bronchitis,22420.0
 Asthma,Bronchitis,23826.0
 Asthma,Bronchitis,24093.0
 Asthma,Bronchitis,24124.0
 Asthma,Bronchitis,25268.0
 Asthma,Bronchitis,24991.0
 Asthma,Bronchitis,26527.0
 Asthma,Bronchitis,26279.0
 Asthma,Bronchitis,25897.0
 Asthma,Bronchitis,26101.0
 Asthma,Bronchitis,26005.0
 Asthma,Bronchitis,26025.0
 Asthma,Bronchitis,123207.0
 Asthma,Bronchitis,121056.0
 Asthma,Bronchitis,122041.0
 Asthma,Bronchitis,123831.0
 Asthma,Bronchitis,125446.0
 Asthma,Bronchitis,121028.0
 Asthma,Bronchitis,129957.0
 Asthma,Bronchitis,123606.0
 Asthma,Bronchitis,127017.0
 Asthma,Bronchitis,140102.0
 Asthma,Bronchitis,136383.0
